isExoplanet,hostName,orbitalPeriod,orbitalPeriodMin,orbitalPeriodMax,transitDuration,transitDurationMin,transitDurationMax,transitDepth,transitDepthMin,transitDepthMax,impactParameter,impactParameterMin,impactParameterMax,planetRadiusEarth,planetRadiusEarthMin,planetRadiusEarthMax,planetRadiusJupiter,planetRadiusJupiterMin,planetRadiusJupiterMax,planetMassEarth,planetMassEarthMin,planetMassEarthMax,planetMassJupiter,planetMassJupiterMin,planetMassJupiterMax,planetDensity,planetDensityMin,planetDensityMax,equilibriumTemperature,equilibriumTemperatureMin,equilibriumTemperatureMax,insolationFlux,insolationFluxMin,insolationFluxMax,stellarEffectiveTemperature,stellarEffectiveTemperatureMin,stellarEffectiveTemperatureMax,stellarSurfaceGravity,stellarSurfaceGravityMin,stellarSurfaceGravityMax,stellarRadius,stellarRadiusMin,stellarRadiusMax,stellarMass,stellarMassMin,stellarMassMax,stellarMetallicity,stellarMetallicityMin,stellarMetallicityMax,stellarAge,stellarAgeMin,stellarAgeMax,rightAscension,declination,magnitude
0,,0.945829261,5.18E-06,-5.18E-06,1.715,0.124,-0.124,9.82E+01,7.70E+00,-7.70E+00,0.326,0.15,-0.326,0.86,2.10E-01,-7.00E-02,,,,,,,,,,,,,1790,,,2433.01,1748.46,-637.83,5959,160,-178,4.546,0.042,-0.168,0.859,0.209,-0.075,,,,,,,,,,292.01379,42.28875,15.263
0,,10.8614163,1.62E-04,-1.62E-04,6.02,0.39,-0.39,6.48E+01,5.50E+00,-5.50E+00,0.939,0.044,-0.655,1.01,2.90E-01,-1.10E-01,,,,,,,,,,,,,899,,,154.68,127.71,-44.72,6339,141,-189,4.454,0.062,-0.2,1.017,0.298,-0.106,,,,,,,,,,281.95569,44.261532,13.517
0,,0.973160836,4.30E-06,-4.30E-06,0.864,0.191,-0.191,1.38E+02,2.07E+01,-2.07E+01,0.034,0.452,-0.034,1.22,3.90E-01,-1.30E-01,,,,,,,,,,,,,1932,,,3303.84,3066.78,-1042.56,6108,172,-236,4.466,0.052,-0.208,1.03,0.323,-0.108,,,,,,,,,,294.86813,44.283199,15.238
0,,4.05943749,2.57E-05,-2.57E-05,3.245,0.137,-0.137,1.05E+02,6.90E+00,-6.90E+00,0.914,0.055,-0.69,2.11,1.10E+00,-1.10E+00,,,,,,,,,,,,,1295,,,664.54,1119.9,-531.93,5051,192,-174,3.978,0.572,-0.308,1.655,0.862,-0.862,,,,,,,,,,290.63043,44.565601,13.514
0,,7.03965141,7.84E-05,-7.84E-05,3.141,0.265,-0.265,2.69E+02,3.11E+01,-3.11E+01,0.778,0.2,-0.574,2.72,4.60E-01,-5.60E-01,,,,,,,,,,,,,1171,,,445.49,192.92,-179.96,5902,70,-79,4.128,0.182,-0.098,1.513,0.256,-0.313,,,,,,,,,,283.94244,41.4716,14.935
0,,4.72519164,6.89E-05,-6.89E-05,3.751,0.34,-0.34,9.88E+01,1.19E+01,-1.19E+01,0.6,0.04,-0.471,3.98,5.70E-01,-1.69E+00,,,,,,,,,,,,,2250,,,6060.79,2623.51,-4285.29,6655,160,-200,3.49,0.376,-0.094,3.831,0.542,-1.627,,,,,,,,,,295.1442,38.799831,12.358
0,,6.39903778,3.30E-05,-3.30E-05,3.15,0.129,-0.129,1.87E+02,9.00E+00,-9.00E+00,0.241,0.198,-0.241,6.54,1.96E+00,-3.19E+00,,,,,,,,,,,,,1780,,,2376.4,2037.34,-1830.11,5178,124,-171,3.286,0.372,-0.217,4.856,1.456,-2.366,,,,,,,,,,283.47574,41.775318,13.507
0,,66.6434565,3.69E-04,-3.69E-04,2.385,0.18,-0.18,2.77E+02,2.18E+01,-2.18E+01,0.985,0.045,-0.754,2.99,6.20E-01,-3.80E-01,,,,,,,,,,,,,476,,,12.17,6.56,-3.4,5751,77,-77,4.339,0.1,-0.15,1.164,0.242,-0.149,,,,,,,,,,290.9227,48.180328,13.224
0,,0.739761008,3.79E-06,-3.79E-06,7.589,0.621,-0.621,2.92E+02,1.25E+01,-1.25E+01,1.2359,0.0283,-0.2054,9.67,1.39E+00,-1.38E+00,,,,,,,,,,,,,839,,,117.05,44.98,-36.65,3417,50,-57,4.9,0.06,-0.06,0.35,0.05,-0.05,,,,,,,,,,292.69855,37.778481,15.049
0,,0.950735805,2.79E-06,-2.79E-06,1.1434,0.0918,-0.0918,1.75E+02,1.30E+01,-1.30E+01,0.57,0.402,-0.368,1.39,4.60E-01,-1.60E-01,,,,,,,,,,,,,1908,,,3129.59,3258.85,-1060.03,6039,217,-265,4.478,0.056,-0.224,1.005,0.333,-0.111,,,,,,,,,,282.92773,42.80608,15.156
